entrez_gene_ida	symbol_a	entrez_gene_idb	symbol_b
6047	RNF4	23598	PATZ1
4036	LRP2	55805	LRP2BP
406	ARNTL	3091	HIF1A
7409	VAV1	8651	SOCS1
3303	HSPA1A	5340	PLG
7337	UBE3A	259266	ASPM
3301	DNAJA1	57819	LSM2
5925	RB1	7027	TFDP1
1027	CDKN1B	7345	UCHL1
4824	NKX3-1	25803	SPDEF
3320	HSP90AA1	5467	PPARD
7157	TP53	8648	NCOA1
10006	ABI1	653361	NCF1
596	BCL2	841	CASP8
4088	SMAD3	10992	SF3B2
1386	ATF2	4089	SMAD4
3064	HTT	23390	ZDHHC17
6923	TCEB2	10444	ZER1
10013	HDAC6	23400	ATP13A2
5194	PEX13	5195	PEX14
5705	PSMC5	7068	THRB
9793	CKAP5	9793	CKAP5
2099	ESR1	7025	NR2F1
4929	NR4A2	340543	TCEAL5
4281	MID1	7334	UBE2N
2885	GRB2	28964	GIT1
3875	KRT18	55212	BBS7
1737	DLAT	8050	PDHX
5879	RAC1	8871	SYNJ2
5994	RFXAP	8625	RFXANK
10477	UBE2E3	26001	RNF167
51062	ATL1	51062	ATL1
4193	MDM2	6872	TAF1
5530	PPP3CA	200186	CRTC2
6386	SDCBP	7039	TGFA
2010	EMD	9774	BCLAF1
9572	NR1D1	9611	NCOR1
1785	DNM2	6453	ITSN1
5781	PTPN11	5829	PXN
6048	RNF5	7321	UBE2D1
4609	MYC	79753	SNIP1
10084	PQBP1	10907	TXNL4A
1104	RCC1	1104	RCC1
598	BCL2L1	5664	PSEN2
5074	PAWR	5590	PRKCZ
5300	PIN1	9088	PKMYT1
5868	RAB5A	10567	RABAC1
26118	WSB1	28996	HIPK2
7324	UBE2E1	56658	TRIM39
3398	ID2	6938	TCF12
6045	RNF2	8535	CBX4
5901	RAN	57510	XPO5
2950	GSTP1	2950	GSTP1
190	NR0B1	8204	NRIP1
5058	PAK1	5879	RAC1
2597	GAPDH	2597	GAPDH
3320	HSP90AA1	10963	STIP1
55655	NLRP2	152138	PYDC2
5594	MAPK1	5604	MAP2K1
718	C3	1380	CR2
29108	PYCARD	152138	PYDC2
6453	ITSN1	6654	SOS1
5879	RAC1	64718	UNKL
7189	TRAF6	7334	UBE2N
4656	MYOG	6929	TCF3
4297	KMT2A	10450	PPIE
4535	ND1	10135	NAMPT
8772	FADD	8837	CFLAR
2316	FLNA	4988	OPRM1
7320	UBE2B	7750	ZMYM2
5394	EXOSC10	54512	EXOSC4
4281	MID1	7324	UBE2E1
2885	GRB2	9846	GAB2
5004	ORM1	5054	SERPINE1
4297	KMT2A	8350	HIST1H3A
